"clima_id","data","precipitacao","temp_max","temp_min","neve"
"1","2024-01-01","0.16","7.06","2.01","0"
"2","2024-01-02","0.03","6.53","-2.18","0"
"3","2024-01-03","0","5.87","-1.49","0"
"4","2024-02-01","0.03","5.41","-0.02","0"
"5","2024-02-02","4.31","6.84","1.67","0"
"6","2024-02-03","0.95","6.12","-0.02","0"
"7","2024-03-01","0","5.9","-2.86","0"
"8","2024-03-02","16.22","9.42","1.08","0"
"9","2024-03-03","14.69","15.46","6.53","0"
"10","2024-04-01","0.21","14.01","6.77","0"
"11","2024-04-02","12.67","10.17","5.81","0"
"12","2024-04-03","34.31","7.63","4.97","0"
"13","2024-04-04","41.7","5","1.7","0"
"14","2024-05-01","1.25","21.01","11.08","0"
"15","2024-05-02","0","24.58","11.12","0"
"16","2024-05-03","0","22.63","10.93","0"
"17","2024-06-01","0","26.89","13.34","0"
"18","2024-06-02","0","28.45","15.29","0"
"19","2024-06-03","0.09","29.33","18.82","0"
"20","2024-07-01","3.99","28.37","17.19","0"
"21","2024-07-02","0","27.74","16.48","0"
"22","2024-07-03","0","28.26","17.22","0"
"23","2024-08-01","0.53","33.7","22.18","0"
"24","2024-08-02","6.13","34.26","23.33","0"
"25","2024-08-03","17.97","33.26","23.09","0"
"26","2024-08-04","15.68","33.6","22.23","0"
"27","2024-09-01","0.11","26.93","20.96","0"
"28","2024-09-02","0.76","27.15","17.4","0"
"29","2024-09-03","0","24.69","12.45","0"
"30","2024-10-01","0.02","21.45","14.59","0"
"31","2024-10-02","0","20.31","13.77","0"
"32","2024-10-03","0","21.47","14.59","0"
"33","2024-11-01","0","27.37","12.73","0"
"34","2024-11-02","0","20.89","7.55","0"
"35","2024-11-03","0","14.17","3.18","0"
"36","2024-12-01","0","3.59","-4.05","0"
"37","2024-12-02","0","3.77","-4.17","0"
"38","2024-12-03","0.02","5.33","-2.93","0"
